Sr,Name,Docstatus,Customer,Type of Invoice,Grand Total,Status,Currency,Grand Total (Company Currency),Outstanding Amount,Payment Due Date,Integrator ID,Party Account Currency,POS Profile,Date,Price List Rate,Item Name,Item,Sales Invoice
1528,MP-SINV-2024-79697,1,Cash - Shopify ID,Full Payment,150000,Paid,IDR,150000,0,2024-05-05,323920,IDR,Shopify ID - Kasir,2024-05-05,150000,KHALID TOTE BAG MASJID NUSANTARA - BLACK,TUBTE317214BAPOLMN,7a5bef9b7f
1529,MP-SINV-2024-79672,1,Cash - Shopify ID,Full Payment,377000,Paid,IDR,377000,0,2024-05-05,323922,IDR,Shopify ID - Kasir,2024-05-05,78000,DEDO HALF GLOVES - MISTY GREY,TMCGH205300GMNG,9718744beb
1530,MP-SINV-2024-79672,1,Cash - Shopify ID,Full Payment,377000,Paid,IDR,377000,0,2024-05-05,323922,IDR,Shopify ID - Kasir,2024-05-05,388000,Nirala Backpack - Black,TUBBD328800BAPOLNG,e1245edcd1
1531,MP-SINV-2024-79672,1,Cash - Shopify ID,Full Payment,377000,Paid,IDR,377000,0,2024-05-05,323922,IDR,Shopify ID - Kasir,2024-05-05,88000,NEO SAMGEO CARD HOLDER - BLACK,TMCWK200400BJNG,fa67339d69
1532,MP-SINV-2024-79672,1,Cash - Shopify ID,Full Payment,377000,Paid,IDR,377000,0,2024-05-05,323922,IDR,Shopify ID - Kasir,2024-05-05,78000,DINERO MONEY BELT - BLACK,TUBMB302500BJNG,ff8addd60e
1533,MP-SINV-2024-79673,1,Cash - Shopify ID,Full Payment,885000,Paid,IDR,885000,0,2024-05-05,323931,IDR,Shopify ID - Kasir,2024-05-05,1299000,NEO TAKAHAGI TBP 40L ROCK - GREY,TUBBT000140GCTRING,cb31c05201
1534,MP-SINV-2024-80795,1,Cash - Shopify ID,Full Payment,97832,Paid,IDR,97832,0,2024-05-06,323975,IDR,Shopify ID - Kasir,2024-05-06,98000,CORRI FOLDABLE PEE BOTTLE,TUCBT206973XXNG,0ecd1a48ef
1535,MP-SINV-2024-80795,1,Cash - Shopify ID,Full Payment,97832,Paid,IDR,97832,0,2024-05-06,323975,IDR,Shopify ID - Kasir,2024-05-06,68000,NEO ODER WALLET CARD C - BLACK,TUCCW101200BAPOLNG,141c8b7806
1536,MP-SINV-2024-80405,1,Cash - Shopify ID,Full Payment,84870,Paid,IDR,84870,0,2024-05-06,323986,IDR,Shopify ID - Kasir,2024-05-06,138000,AL MAZAN TRAVEL SAJJADA - BLACK,TMCSJ300800BADZ,52bdc13baf
1537,MP-SINV-2024-80400,1,Cash - Shopify ID,Full Payment,38080,Paid,IDR,38080,0,2024-05-06,324003,IDR,Shopify ID - Kasir,2024-05-06,68000,NEO ODER WALLET CARD C - BLACK,TUCCW101200BAPOLNG,5a3a363429
1538,MP-SINV-2024-80821,1,Cash - Shopify ID,Full Payment,409200,Paid,IDR,409200,0,2024-05-06,324014,IDR,Shopify ID - Kasir,2024-05-06,28000,MIRAR ADJUSTABLE EYEGLASS STRAP,TUBRG206900XXNG,13add0cf81
1539,MP-SINV-2024-80821,1,Cash - Shopify ID,Full Payment,409200,Paid,IDR,409200,0,2024-05-06,324014,IDR,Shopify ID - Kasir,2024-05-06,38000,PRESIO TRAVEL SILICONE BOTTLE - L 90 ML -  BABY GREEN,TUCBC206974HCNG,42817478c2
1540,MP-SINV-2024-80821,1,Cash - Shopify ID,Full Payment,409200,Paid,IDR,409200,0,2024-05-06,324014,IDR,Shopify ID - Kasir,2024-05-06,98000,Nomina Nail Clipper Black,TUCNC200100BA,4cb8100a3a
